"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","E1101","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E4101","E4501","E9101","E9102","E9103","E9105","E9106"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","E1101_Number of kindergartens[number of kindergartens]","E1501_Number of Kindergarten students[person]","E2101_Number of elementary schools[number of schools]","E2401_Number of elementary school teachers[person]","E2501_Elementary school students[person]","E3101_Number of lower secondary schools[number of schools]","E3401_Number of lower secondary school teachers[person]","E3501_Lower secondary school students[person]","E4101_Number of upper secondary schools[number of schools]","E4501_Upper secondary school students[person]","E9101_Population by last school completed (Graduates) (Total)[person]","E9102_Population by last school completed (Elementary school, lower secondary school)[person]","E9103_Population by last school completed (Upper secondary school, lower secondary schools under the old educational system)[person]","E9105_Population by last school completed (Junior college, college of technology)[person]","E9106_Population by last school completed (University and graduate school)[person]"
"2015100000","2015","01406","Hokkaido Furubira-cho","","0","0","1","14","100","1","12","52","0","0","***","***","***","***","***"
"2015100000","2015","01407","Hokkaido Niki-cho","","0","0","2","22","143","2","26","77","0","0","***","***","***","***","***"
"2015100000","2015","01408","Hokkaido Yoichi-cho","","3","271","5","64","858","3","52","459","2","329","***","***","***","***","***"
"2015100000","2015","01409","Hokkaido Akaigawa-mura","","0","0","2","16","61","1","11","36","0","0","***","***","***","***","***"
"2015100000","2015","01423","Hokkaido Nanporo-cho","","1","184","1","26","300","1","20","189","1","77","***","***","***","***","***"
"2015100000","2015","01424","Hokkaido Naie-cho","","0","0","1","20","221","1","17","149","1","71","***","***","***","***","***"
"2015100000","2015","01425","Hokkaido Kamisunagawa-cho","","0","0","1","13","115","1","15","61","0","0","***","***","***","***","***"
"2015100000","2015","01427","Hokkaido Yuni-cho","","1","33","2","30","223","1","17","143","0","0","***","***","***","***","***"
"2015100000","2015","01428","Hokkaido Naganuma-cho","","1","82","5","56","505","1","22","233","1","199","***","***","***","***","***"
"2015100000","2015","01429","Hokkaido Kuriyama-cho","","1","65","3","45","498","1","25","320","1","228","***","***","***","***","***"
"2015100000","2015","01430","Hokkaido Tsukigata-cho","","1","27","1","14","95","1","12","68","1","146","***","***","***","***","***"
"2015100000","2015","01431","Hokkaido Urausu-cho","","1","21","1","12","81","1","12","51","0","0","***","***","***","***","***"
"2015100000","2015","01432","Hokkaido Shintotsukawa-cho","","1","231","1","23","326","1","21","196","1","105","***","***","***","***","***"
"2015100000","2015","01433","Hokkaido Moseushi-cho","","1","0","1","16","114","1","11","66","0","0","***","***","***","***","***"
"2015100000","2015","01434","Hokkaido Chippubetsu-cho","","0","0","1","10","79","1","13","52","0","0","***","***","***","***","***"
"2015100000","2015","01436","Hokkaido Uryu-cho","","0","0","1","12","91","1","13","76","0","0","***","***","***","***","***"
"2015100000","2015","01437","Hokkaido Hokuryu-cho","","0","0","1","10","68","1","10","41","0","0","***","***","***","***","***"
"2015100000","2015","01438","Hokkaido Numata-cho","","1","13","1","15","131","1","15","72","0","0","***","***","***","***","***"
"2015100000","2015","01452","Hokkaido Takasu-cho","","1","114","2","45","501","1","22","224","1","115","***","***","***","***","***"
"2015100000","2015","01453","Hokkaido Higashikagura-cho","","2","100","4","57","652","1","31","374","0","0","***","***","***","***","***"
"2015100000","2015","01454","Hokkaido Tohma-cho","","1","66","2","31","300","1","17","178","0","0","***","***","***","***","***"
"2015100000","2015","01455","Hokkaido Pippu-cho","","0","0","1","18","160","1","16","85","0","0","***","***","***","***","***"
"2015100000","2015","01456","Hokkaido Aibetsu-cho","","1","29","1","15","108","1","15","70","0","0","***","***","***","***","***"
"2015100000","2015","01457","Hokkaido Kamikawa-cho","","2","32","1","18","160","1","18","78","1","142","***","***","***","***","***"
"2015100000","2015","01458","Hokkaido Higashikawa-cho","","1","69","4","51","437","1","22","242","1","236","***","***","***","***","***"
"2015100000","2015","01459","Hokkaido Biei-cho","","1","83","8","82","445","3","46","273","1","158","***","***","***","***","***"
"2015100000","2015","01460","Hokkaido Kamifurano-cho","","1","128","3","60","585","1","25","322","1","82","***","***","***","***","***"
"2015100000","2015","01461","Hokkaido Nakafurano-cho","","0","0","6","48","279","1","17","153","0","0","***","***","***","***","***"
"2015100000","2015","01462","Hokkaido Minamifurano-cho","","0","0","3","28","97","1","14","74","1","52","***","***","***","***","***"
"2015100000","2015","01463","Hokkaido Shimukappu-mura","","0","0","2","15","49","2","19","29","0","0","***","***","***","***","***"
"2015100000","2015","01464","Hokkaido Wassamu-cho","","0","0","1","16","151","1","13","81","0","0","***","***","***","***","***"
"2015100000","2015","01465","Hokkaido Kembuchi-cho","","0","0","1","13","146","1","12","82","1","92","***","***","***","***","***"
"2015100000","2015","01468","Hokkaido Shimokawa-cho","","0","0","1","17","163","1","13","74","1","75","***","***","***","***","***"
"2015100000","2015","01469","Hokkaido Bifuka-cho","","0","0","2","24","164","2","22","116","1","65","***","***","***","***","***"
"2015100000","2015","01470","Hokkaido Otoineppu-mura","","1","7","1","7","17","1","6","5","1","112","***","***","***","***","***"
"2015100000","2015","01471","Hokkaido Nakagawa-cho","","0","0","1","13","69","1","10","32","0","0","***","***","***","***","***"
"2015100000","2015","01472","Hokkaido Horokanai-cho","","0","0","2","16","71","1","14","51","1","67","***","***","***","***","***"
"2015100000","2015","01481","Hokkaido Mashike-cho","","1","25","2","24","179","1","17","105","0","0","***","***","***","***","***"
"2015100000","2015","01482","Hokkaido Obira-cho","","2","54","2","21","134","1","14","67","0","0","***","***","***","***","***"
"2015100000","2015","01483","Hokkaido Tomamae-cho","","0","0","2","25","141","2","26","75","1","81","***","***","***","***","***"
"2015100000","2015","01484","Hokkaido Haboro-cho","","1","41","3","34","330","3","28","162","2","161","***","***","***","***","***"
"2015100000","2015","01485","Hokkaido Shosambetsu-mura","","0","0","1","9","40","1","15","32","0","0","***","***","***","***","***"
"2015100000","2015","01486","Hokkaido Embetsu-cho","","0","0","1","16","122","1","13","58","1","50","***","***","***","***","***"
"2015100000","2015","01487","Hokkaido Teshio-cho","","0","0","2","20","149","2","18","74","1","164","***","***","***","***","***"
"2015100000","2015","01511","Hokkaido Sarufutsu-mura","","0","0","5","44","179","1","14","84","0","0","***","***","***","***","***"
"2015100000","2015","01512","Hokkaido Hamatombetsu-cho","","0","0","2","24","184","1","14","98","1","130","***","***","***","***","***"
"2015100000","2015","01513","Hokkaido Nakatombetsu-cho","","0","0","1","14","64","1","11","43","0","0","***","***","***","***","***"
"2015100000","2015","01514","Hokkaido Esashi-cho","","1","69","9","74","453","3","42","245","1","151","***","***","***","***","***"
"2015100000","2015","01516","Hokkaido Toyotomi-cho","","0","0","2","21","186","2","23","110","1","61","***","***","***","***","***"
"2015100000","2015","01517","Hokkaido Rebun-cho","","0","0","4","32","111","2","23","58","1","22","***","***","***","***","***"
"2015100000","2015","01518","Hokkaido Rishiri-cho","","0","0","2","18","98","2","27","47","1","75","***","***","***","***","***"
"2015100000","2015","01519","Hokkaido Rishirifuji-cho","","0","0","2","22","146","2","22","57","0","0","***","***","***","***","***"
"2015100000","2015","01520","Hokkaido Horonobe-cho","","0","0","2","24","124","2","15","50","0","0","***","***","***","***","***"
"2015100000","2015","01543","Hokkaido Bihoro-cho","","2","293","3","82","984","2","41","521","1","389","***","***","***","***","***"
"2015100000","2015","01544","Hokkaido Tsubetsu-cho","","0","0","1","18","155","1","16","113","1","71","***","***","***","***","***"
"2015100000","2015","01545","Hokkaido Shari-cho","","1","51","6","78","568","2","33","274","1","206","***","***","***","***","***"
"2015100000","2015","01546","Hokkaido Kiyosato-cho","","1","53","3","33","203","1","14","114","1","59","***","***","***","***","***"
"2015100000","2015","01547","Hokkaido Koshimizu-cho","","1","27","1","24","228","1","14","121","1","54","***","***","***","***","***"
"2015100000","2015","01549","Hokkaido Kunneppu-cho","","1","86","2","26","238","1","17","152","1","77","***","***","***","***","***"
"2015100000","2015","01550","Hokkaido Oketo-cho","","0","0","1","16","110","1","15","71","1","64","***","***","***","***","***"
"2015100000","2015","01552","Hokkaido Saroma-cho","","0","0","3","35","249","1","13","137","1","89","***","***","***","***","***"
"2015100000","2015","01555","Hokkaido Engaru-cho","","2","190","9","119","999","7","96","520","1","590","***","***","***","***","***"
"2015100000","2015","01559","Hokkaido Yubetsu-cho","","1","15","6","64","439","3","44","238","1","163","***","***","***","***","***"
"2015100000","2015","01560","Hokkaido Takinoue-cho","","0","0","2","20","96","1","14","45","1","46","***","***","***","***","***"
"2015100000","2015","01561","Hokkaido Okoppe-cho","","1","65","2","26","177","2","23","111","1","87","***","***","***","***","***"
"2015100000","2015","01562","Hokkaido Nishiokoppe-mura","","0","0","2","15","46","1","11","27","0","0","***","***","***","***","***"
"2015100000","2015","01563","Hokkaido Omu-cho","","0","0","5","37","203","1","14","120","1","86","***","***","***","***","***"
"2015100000","2015","01564","Hokkaido Ozora-cho","","2","166","2","37","394","2","25","216","2","159","***","***","***","***","***"
"2015100000","2015","01571","Hokkaido Toyoura-cho","","0","0","4","38","179","2","22","115","0","0","***","***","***","***","***"
"2015100000","2015","01575","Hokkaido Sobetsu-cho","","0","0","2","22","126","2","22","67","1","73","***","***","***","***","***"
"2015100000","2015","01578","Hokkaido Shiraoi-cho","","1","82","6","83","638","2","37","385","2","715","***","***","***","***","***"
"2015100000","2015","01581","Hokkaido Atsuma-cho","","0","0","2","29","222","2","28","95","1","93","***","***","***","***","***"
"2015100000","2015","01584","Hokkaido Toyako-cho","","1","45","3","45","368","3","36","197","2","110","***","***","***","***","***"
"2015100000","2015","01585","Hokkaido Abira-cho","","1","14","4","51","381","2","29","199","1","86","***","***","***","***","***"
"2015100000","2015","01586","Hokkaido Mukawa-cho","","0","0","5","47","344","2","33","211","2","257","***","***","***","***","***"
"2015100000","2015","01601","Hokkaido Hidaka-cho","","2","145","5","61","622","4","54","317","2","128","***","***","***","***","***"
"2015100000","2015","01602","Hokkaido Biratori-cho","","0","0","5","52","264","2","25","145","1","85","***","***","***","***","***"
"2015100000","2015","01604","Hokkaido Niikappu-cho","","0","0","2","32","308","1","17","158","0","0","***","***","***","***","***"
"2015100000","2015","01607","Hokkaido Urakawa-cho","","1","35","4","77","618","3","48","360","1","399","***","***","***","***","***"
"2015100000","2015","01608","Hokkaido Samani-cho","","0","0","1","15","177","1","13","110","0","0","***","***","***","***","***"
"2015100000","2015","01609","Hokkaido Erimo-cho","","1","30","5","48","281","1","14","138","1","110","***","***","***","***","***"
"2015100000","2015","01610","Hokkaido Shinhidaka-cho","","1","138","6","94","1105","3","57","612","2","724","***","***","***","***","***"
"2015100000","2015","01631","Hokkaido Otofuke-cho","","2","269","13","243","2913","5","126","1490","1","484","***","***","***","***","***"
"2015100000","2015","01632","Hokkaido Shihoro-cho","","0","0","8","82","375","1","18","172","1","176","***","***","***","***","***"
"2015100000","2015","01633","Hokkaido Kamishihoro-cho","","0","0","4","37","254","1","17","118","1","195","***","***","***","***","***"
"2015100000","2015","01634","Hokkaido Shikaoi-cho","","0","0","5","55","332","2","32","175","1","211","***","***","***","***","***"
"2015100000","2015","01635","Hokkaido Shintoku-cho","","1","56","3","45","255","3","35","145","1","67","***","***","***","***","***"
"2015100000","2015","01636","Hokkaido Shimizu-cho","","1","49","2","50","446","2","33","252","1","381","***","***","***","***","***"
"2015100000","2015","01637","Hokkaido Memuro-cho","","2","324","4","97","1254","3","60","650","2","945","***","***","***","***","***"
"2015100000","2015","01638","Hokkaido Nakasatsunai-mura","","0","0","2","26","209","1","16","104","0","0","***","***","***","***","***"
"2015100000","2015","01639","Hokkaido Sarabetsu-mura","","2","49","2","30","193","1","15","89","1","149","***","***","***","***","***"
"2015100000","2015","01641","Hokkaido Taiki-cho","","0","0","1","32","280","1","18","124","1","154","***","***","***","***","***"
"2015100000","2015","01642","Hokkaido Hiroo-cho","","1","34","2","44","323","2","31","197","1","145","***","***","***","***","***"
"2015100000","2015","01643","Hokkaido Makubetsu-cho","","2","220","9","153","1460","5","94","858","2","481","***","***","***","***","***"
"2015100000","2015","01644","Hokkaido Ikeda-cho","","1","34","3","39","276","1","17","172","1","189","***","***","***","***","***"
"2015100000","2015","01645","Hokkaido Toyokoro-cho","","0","0","2","24","144","1","15","77","0","0","***","***","***","***","***"
"2015100000","2015","01646","Hokkaido Hombetsu-cho","","1","36","3","45","318","2","32","170","1","146","***","***","***","***","***"
"2015100000","2015","01647","Hokkaido Ashoro-cho","","0","0","4","48","356","1","18","166","1","109","***","***","***","***","***"
"2015100000","2015","01648","Hokkaido Rikubetsu-cho","","0","0","1","16","95","1","13","54","0","0","***","***","***","***","***"
"2015100000","2015","01649","Hokkaido Urahoro-cho","","2","39","3","30","206","2","25","102","0","0","***","***","***","***","***"
"2015100000","2015","01661","Hokkaido Kushiro-cho","","3","141","5","94","1000","4","69","567","1","428","***","***","***","***","***"
"2015100000","2015","01662","Hokkaido Akkeshi-cho","","2","54","5","67","476","4","48","241","1","163","***","***","***","***","***"
"2015100000","2015","01663","Hokkaido Hamanaka-cho","","0","0","5","58","310","4","48","198","1","80","***","***","***","***","***"
"2015100000","2015","01664","Hokkaido Shibecha-cho","","1","47","7","68","407","5","51","225","1","216","***","***","***","***","***"
"2015100000","2015","01665","Hokkaido Teshikaga-cho","","1","60","5","52","365","2","28","176","1","148","***","***","***","***","***"
"2015100000","2015","01667","Hokkaido Tsurui-mura","","0","0","3","31","165","2","29","82","0","0","***","***","***","***","***"
"2015100000","2015","01668","Hokkaido Shiranuka-cho","","2","47","3","39","316","3","39","193","1","142","***","***","***","***","***"
"2015100000","2015","01691","Hokkaido Betsukai-cho","","5","262","9","131","982","9","115","479","1","284","***","***","***","***","***"
