"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","B1102","B1103","B1104","B1105","B1106","B1107"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","B1102_Total land area (Incl. the northern territories and Takeshima)[ha]","B1103_Inhabitable area[ha]","B1104_Main lakes and marshes area[ha]","B1105_Woodland area[ha]","B1106_Forest area[ha]","B1107_Area of grass fields other than forest[ha]"
"2014100000","2014","02203","Aomori-ken Hachinohe-shi","","30554","20331","0","10211","10207","4"
"2014100000","2014","02204","Aomori-ken Kuroishi-shi","","21705","7418","0","14414","14241","173"
"2014100000","2014","02205","Aomori-ken Goshogawara-shi","","40418","17376","1782","21503","21085","418"
"2014100000","2014","02206","Aomori-ken Towada-shi","","72565","20506","3663","48984","46534","2450"
"2014100000","2014","02207","Aomori-ken Misawa-shi","","11987","9783","0","2205","1990","215"
"2014100000","2014","02208","Aomori-ken Mutsu-shi","","86416","13529","268","72222","71640","582"
"2014100000","2014","02209","Aomori-ken Tsugaru-shi","","25355","21338","125","3868","3867","1"
"2014100000","2014","02210","Aomori-ken Hirakawa-shi","","34601","9524","0","25068","24965","103"
"2014100000","2014","02301","Aomori-ken Hiranai-machi","","21709","4671","0","17043","16988","55"
"2014100000","2014","02303","Aomori-ken Imabetsu-machi","","12527","1959","0","10719","10548","171"
"2014100000","2014","02304","Aomori-ken Yomogita-mura","","8065","2037","0","6124","6019","105"
"2014100000","2014","02307","Aomori-ken Sotogahama-machi","","23029","3105","0","19999","19813","186"
"2014100000","2014","02321","Aomori-ken Ajigasawa-machi","","34308","7834","0","26324","26317","7"
"2014100000","2014","02323","Aomori-ken Fukaura-machi","","48889","6522","0","42392","42286","106"
"2014100000","2014","02343","Aomori-ken Nishimeya-mura","","24602","1807","0","22605","22257","348"
"2014100000","2014","02361","Aomori-ken Fujisaki-machi","","3729","3729","0","0","0","0"
"2014100000","2014","02362","Aomori-ken Owani-machi","","16343","3833","0","12672","12672","0"
"2014100000","2014","02367","Aomori-ken Inakadate-mura","","2235","2235","0","0","0","0"
"2014100000","2014","02381","Aomori-ken Itayanagi-machi","","4188","4188","0","0","0","0"
"2014100000","2014","02384","Aomori-ken Tsuruta-machi","","4643","4523","0","120","120","0"
