"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","F1101","F1102","F1103","F1104","F1105","F1106","F1107","F110701","F110702","F1108","F1109","F1110","F1111","F2401","F2402","F2403","F2404","F2705","F270501","F270502"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","F1101_(Population census) Population in labour force[person]","F1102_(Population census) Employed persons[person]","F1103_(Population census) Employed persons, mostly worked[person]","F1104_(Population census) Employed persons, worked besides doing housework[person]","F1105_(Population census) Employed persons, working besides mainly attending school[person]","F1106_(Population census) Employed persons, Absent from work[person]","F1107_(Population census) Unemployed persons[person]","F110701_(Population census) Unemployed persons (Male)[person]","F110702_(Population census) Unemployed persons (Female)[person]","F1108_(Population census) Population not in labour force[person]","F1109_(Population census) Population not in labour force, doing housework[person]","F1110_(Population census) Population not in labour force, attending school[person]","F1111_(Population census) Population not in labour force, others[person]","F2401_(Population census) No. of employees[person]","F2402_No. of board member of company, etc.[person]","F2403_No. of self-employed, employing others[person]","F2404_No. of self-employed, not employing others[person]","F2705_Commuters to other municipalities[person]","F270501_Commuters to other municipalities (Male)[person]","F270502_Commuters to other municipalities (Female)[person]"
"2015100000","2015","01547","Hokkaido Koshimizu-cho","","2777","2724","2313","379","6","26","53","28","25","1676","475","131","1070","1584","153","108","309","329","199","130"
"2015100000","2015","01549","Hokkaido Kunneppu-cho","","2728","2681","2328","336","7","10","47","35","12","1755","581","180","994","1481","94","104","347","655","381","274"
"2015100000","2015","01550","Hokkaido Oketo-cho","","1514","1487","1255","210","3","19","27","20","7","1287","327","114","846","953","76","53","149","195","129","66"
"2015100000","2015","01552","Hokkaido Saroma-cho","","2824","2767","2354","378","8","27","57","33","24","1925","589","125","1211","1828","136","112","240","170","113","57"
"2015100000","2015","01555","Hokkaido Engaru-cho","","9974","9676","8271","1288","10","107","298","188","110","8318","2853","677","4788","8024","451","224","540","926","617","309"
"2015100000","2015","01559","Hokkaido Yubetsu-cho","","4912","4775","4009","737","4","25","137","90","47","3347","1011","339","1997","2936","221","181","501","555","302","253"
"2015100000","2015","01560","Hokkaido Takinoue-cho","","1289","1273","1091","167","3","12","16","10","6","1191","300","57","834","958","83","33","94","74","46","28"
"2015100000","2015","01561","Hokkaido Okoppe-cho","","2121","2088","1744","316","2","26","33","23","10","1314","492","130","692","1470","111","118","144","199","110","89"
"2015100000","2015","01562","Hokkaido Nishiokoppe-mura","","559","551","483","66","1","1","8","7","1","436","129","27","280","431","25","14","51","47","25","22"
"2015100000","2015","01563","Hokkaido Omu-cho","","2583","2524","2114","394","2","14","59","43","16","1442","467","115","860","1750","137","134","175","102","65","37"
"2015100000","2015","01564","Hokkaido Ozora-cho","","3903","3824","3220","556","11","37","79","52","27","2444","711","274","1459","2160","216","137","470","625","374","251"
"2015100000","2015","01571","Hokkaido Toyoura-cho","","2157","2060","1746","277","7","30","97","64","33","1689","450","130","1109","1452","108","87","165","572","311","261"
